time_s,H,S,V
42.856,188.70,10.48,70.79
42.910,189.57,10.50,70.79
42.961,188.35,10.43,70.74
43.010,189.37,10.55,70.78
43.060,188.85,10.40,70.73
43.111,189.20,10.45,70.76
43.163,188.87,10.45,70.75
43.214,188.51,10.52,70.77
43.266,188.60,10.50,70.78
43.318,188.84,10.46,70.75
43.367,188.61,10.39,70.75
43.419,188.37,10.44,70.73
43.475,189.34,10.47,70.77
43.528,188.00,10.53,70.78
43.576,188.93,10.44,70.74
43.632,189.22,10.44,70.79
43.689,188.18,10.50,70.77
43.745,188.74,10.45,70.74
43.803,188.04,10.49,70.72
43.863,188.90,10.50,70.78
43.921,188.90,10.50,70.78
43.982,188.50,10.46,70.76
44.040,188.61,10.48,70.77
44.101,188.76,10.49,70.76
44.161,188.59,10.46,70.76
44.220,188.37,10.44,70.75
44.277,189.27,10.43,70.76
44.337,188.45,10.39,70.71
44.396,188.98,10.43,70.74
44.460,188.35,10.36,70.72
44.519,188.59,10.51,70.76
44.587,189.14,10.45,70.78
44.647,189.30,10.47,70.79
44.712,189.29,10.46,70.76
44.772,188.58,10.40,70.77
44.839,188.81,10.43,70.78
44.897,188.92,10.49,70.77
44.964,189.14,10.46,70.77
